Level	Amplify	Defense Skill	Dodge	Parry	Block	Hit - Melee	Hit - Ranged	Hit - Spell	Crit - Melee	Crit - Ranged	Crit - Spell	Multi-Strike	Readiness	Speed	Resilience - Crit Taken	Resilience - Player Damage	Lifesteal	Haste - Melee	Haste - Ranged	Haste - Spell	Avoidance	Sturdiness	Unused 7	Expertise	Armor Penetration	Mastery	PvP Power	Cleave	Versatility - Damage Done	Versatility - Healing Done	Versatility - Damage Taken	Unused 12
1	9.423075	0.201923091	2.786539133	2.786539133	0.928846465	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0	1.884615	0.428321591	0	1.250784588	1.199300455	1.6826925	1.6826925	1.6826925	0.588942188	0.1884615	0	1.076923	0	1.884615	0.832371625	1.884615	2.227272273	2.227272273	4.454544545	0
2	9.423075	0.201923091	2.786539133	2.786539133	0.928846465	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0	1.884615	0.428321591	0	1.250784588	1.199300455	1.6826925	1.6826925	1.6826925	0.588942188	0.1884615	0	1.076923	0	1.884615	0.832371625	1.884615	2.227272273	2.227272273	4.454544545	0
3	9.423075	0.201923091	2.786539133	2.786539133	0.928846465	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0	1.884615	0.428321591	0	1.250784588	1.199300455	1.6826925	1.6826925	1.6826925	0.588942188	0.1884615	0	1.076923	0	1.884615	0.832371625	1.884615	2.227272273	2.227272273	4.454544545	0
4	9.423075	0.201923091	2.786539133	2.786539133	0.928846465	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0	1.884615	0.428321591	0	1.250784588	1.199300455	1.6826925	1.6826925	1.6826925	0.588942188	0.1884615	0	1.076923	0	1.884615	0.832371625	1.884615	2.227272273	2.227272273	4.454544545	0
5	9.423075	0.201923091	2.786539133	2.786539133	0.928846465	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0	1.884615	0.428321591	0	1.250784588	1.199300455	1.6826925	1.6826925	1.6826925	0.588942188	0.1884615	0	1.076923	0	1.884615	0.832371625	1.884615	2.227272273	2.227272273	4.454544545	0
6	9.423075	0.201923091	2.786539133	2.786539133	0.928846465	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0	1.884615	0.428321591	0	1.250784588	1.199300455	1.6826925	1.6826925	1.6826925	0.588942188	0.1884615	0	1.076923	0	1.884615	0.832371625	1.884615	2.227272273	2.227272273	4.454544545	0
7	9.423075	0.201923091	2.786539133	2.786539133	0.928846465	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0	1.884615	0.428321591	0	1.250784588	1.199300455	1.6826925	1.6826925	1.6826925	0.588942188	0.1884615	0	1.076923	0	1.884615	0.832371625	1.884615	2.227272273	2.227272273	4.454544545	0
8	9.423075	0.201923091	2.786539133	2.786539133	0.928846465	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0	1.884615	0.428321591	0	1.250784588	1.199300455	1.6826925	1.6826925	1.6826925	0.588942188	0.1884615	0	1.076923	0	1.884615	0.832371625	1.884615	2.227272273	2.227272273	4.454544545	0
9	9.423075	0.201923091	2.786539133	2.786539133	0.928846465	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0	1.884615	0.428321591	0	1.250784588	1.199300455	1.6826925	1.6826925	1.6826925	0.588942188	0.1884615	0	1.076923	0	1.884615	0.832371625	1.884615	2.227272273	2.227272273	4.454544545	0
10	9.423075	0.201923091	2.786539133	2.786539133	0.928846465	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0	1.884615	0.428321591	0	1.250784588	1.199300455	1.6826925	1.6826925	1.6826925	0.588942188	0.1884615	0	1.076923	0	1.884615	0.832371625	1.884615	2.227272273	2.227272273	4.454544545	0
11	9.423075	0.201923091	2.786539133	2.786539133	0.928846465	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0	1.884615	0.428321591	0	1.250784588	1.199300455	1.6826925	1.6826925	1.6826925	0.588942188	0.1884615	0	1.076923	0	1.884615	0.832371625	1.884615	2.227272273	2.227272273	4.454544545	0
